query,device,clicks,impressions,ctr,position
chatgpt yuklab olish uzbek tilida,MOBILE,150,10851,0.013823610727121923,5.242558289558566
chatgpt kirish,MOBILE,69,21475,0.0032130384167636788,7.354691501746217
chatgpt ilovasini yuklab olish,MOBILE,53,2127,0.024917724494593323,5.913963328631876
chatgpt yuklab olish,MOBILE,43,3243,0.013259327782917052,6.7104532839963
chatgpt yuklab olish uzbek tilida,DESKTOP,35,558,0.06272401433691756,5.476702508960574
chatgpt ochish,MOBILE,20,3171,0.00630715862503942,6.168401135288552
chatgpt bepul kirish,MOBILE,11,2135,0.005152224824355972,8.450585480093677
chatgpt kirish,DESKTOP,11,2995,0.003672787979966611,7.470784641068447
chatgpt uzbekcha bepul,MOBILE,9,926,0.009719222462203024,5.345572354211663
chatgpt uz,MOBILE,8,509,0.015717092337917484,5.37524557956778
chatgpt uzbek tilida online,MOBILE,8,733,0.010914051841746248,5.96043656207367
chat gpt yuklash,MOBILE,7,573,0.012216404886561954,7.136125654450262
chatgpt kirish uzbek tilida,MOBILE,7,1991,0.0035158211953792064,5.9472626820693115
chatgpt uzbekcha online,MOBILE,7,1012,0.00691699604743083,5.0810276679841895
chatgpt yuklab olish,DESKTOP,7,579,0.012089810017271158,8.606217616580311
chatgpt uzbekcha,MOBILE,6,832,0.007211538461538462,6.243990384615385
chat gpt uzbekcha,MOBILE,5,159,0.031446540880503145,5.7924528301886795
chatgpt uzbek tilida gaplashish,MOBILE,5,634,0.007886435331230283,7.066246056782334
gptbot,DESKTOP,5,8,0.625,1.5
gptbot,MOBILE,5,5,1,1.2
chatgpt uz,DESKTOP,4,289,0.01384083044982699,4.9100346020761245
chatgpt uzbekistan,MOBILE,4,147,0.027210884353741496,4.727891156462585
jaji piti online,MOBILE,4,646,0.006191950464396285,6.979876160990712
как оплатить чат gpt в узбекистане,MOBILE,4,13,0.3076923076923077,1.3076923076923077
чат джипити узбекча,MOBILE,4,35,0.11428571428571428,6.085714285714285
chatgpt ilovasini yuklab olish,DESKTOP,3,81,0.037037037037037035,6.506172839506172
chatgpt kirish login,MOBILE,3,109,0.027522935779816515,6.165137614678899
chatgpt tarjima,MOBILE,3,316,0.00949367088607595,6.417721518987341
chatgpt uzbekcha скачать,MOBILE,3,313,0.009584664536741214,8.654952076677317
