page,country,clicks,impressions,ctr,position
https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,uzb,240,16381,0.014651120200231975,5.53598681399182
https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,uzb,77,23852,0.00322824081838001,7.217927217843368
https://gptbot.uz/uz/gpt-uzbek-tilida/,uzb,72,11875,0.006063157894736842,6.875536842105263
https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,rus,54,1347,0.0400890868596882,6.390497401633259
https://gptbot.uz/ru/gpt-chat/,uzb,31,3770,0.008222811671087533,5.984084880636605
https://gptbot.uz/ru/gpt-chat/,rus,12,180,0.06666666666666667,4.933333333333334
https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,rus,9,665,0.013533834586466165,6.494736842105263
https://gptbot.uz/,uzb,6,30,0.2,18.466666666666665
https://gptbot.uz/ru/blog/kak-oplatit-chatgpt-v-uzbekistane/,uzb,4,32,0.125,2.375
https://gptbot.uz/uz/gpt-uzbek-tilida/,rus,4,321,0.012461059190031152,7.158878504672897
https://gptbot.uz/ru/gpt-chat/,kgz,3,51,0.058823529411764705,3.9607843137254903
https://gptbot.uz/uz/blog/chatgpt-ozbekistonda-vpnsiz-ishlaydimi/,uzb,3,1926,0.001557632398753894,8.609034267912772
https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,deu,3,9,0.3333333333333333,7.111111111111111
https://gptbot.uz/ru/gpt-chat/,tjk,2,46,0.043478260869565216,7.086956521739131
https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,hkg,2,16,0.125,6.75
https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,tur,2,33,0.06060606060606061,5.151515151515151
https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,tjk,2,41,0.04878048780487805,6.902439024390244
https://gptbot.uz/ru/blog/chat-s-ii-gde-poobshchatsya-s-iskusstvennym-intellektom/,ukr,1,9,0.1111111111111111,10.333333333333334
https://gptbot.uz/ru/blog/kak-oplatit-chatgpt-v-uzbekistane/,rus,1,2,0.5,2.5
https://gptbot.uz/ru/blog/stoimost-i-pakety-smm-uslug-v-tashkente/,uzb,1,5,0.2,15.4
https://gptbot.uz/ru/gpt-chat/,chn,1,1,1,2
https://gptbot.uz/ru/gpt-chat/,esp,1,1,1,8
https://gptbot.uz/ru/gpt-chat/,irn,1,1,1,5
